Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
Rk,Player,Age,Team,Pos?,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb
40,Deebo Samuel,27,SFO,WR,15,15,89,60,892,14.9,7,34,56.2,54,4,59.5,67.4,10,1
41,Romeo Doubs,23,GNB,WR,17,16,96,59,674,11.4,8,41,51,36,3.5,39.6,61.5,7,1
42,Cooper Kupp,30,LAR,WR,12,12,95,59,737,12.5,5,33,49.5,62,4.9,61.4,62.1,7.8,0
43,Elijah Moore,23,CLE,WR,17,12,104,59,640,10.8,2,29,42.3,42,3.5,37.6,56.7,6.2,2
44,Courtland Sutton,28,DEN,WR,16,14,90,59,772,13.1,10,37,54.4,46,3.7,48.3,65.6,8.6,3
45,Christian Kirk,27,JAX,WR,12,12,85,57,787,13.8,3,34,57.6,57,4.8,65.6,67.1,9.3,2
46,Brandin Cooks,30,DAL,WR,16,15,81,54,657,12.2,8,38,59.3,37,3.4,41.1,66.7,8.1,1
47,Jerry Jeudy,24,DEN,WR,16,11,87,54,758,14,2,28,46,47,3.4,47.4,62.1,8.7,1
48,Marquise Brown,26,ARI,WR,14,14,101,51,574,11.3,4,32,42.6,41,3.6,41,50.5,5.7,0
49,Diontae Johnson,27,PIT,WR,13,11,87,51,717,14.1,5,37,52.9,71,3.9,55.2,58.6,8.2,1
50,Darius Slayton,26,NYG,WR,17,13,79,50,770,15.4,4,29,49.4,80,2.9,45.3,63.3,9.7,0
51,Jahan Dotson,23,WAS,WR,17,16,83,49,518,10.6,4,27,48.2,33,2.9,30.5,59,6.2,0
52,Demario Douglas,23,NWE,WR,14,7,79,49,561,11.4,0,26,45.6,42,3.5,40.1,62,7.1,3
53,K.J. Osborn,26,MIN,WR,16,12,75,48,540,11.3,3,28,45.3,47,3,33.8,64,7.2,1
54,Tank Dell,24,HOU,WR,11,8,75,47,709,15.1,7,34,54.7,68,4.3,64.5,62.7,9.5,1
55,Rashid Shaheed,25,NOR,WR,15,8,75,46,719,15.6,5,27,46.7,58,3.1,47.9,61.3,9.6,1
56,Gabriel Davis,24,BUF,WR,17,17,81,45,746,16.6,7,34,53.1,57,2.6,43.9,55.6,9.2,1
57,Jonathan Mingo,22,CAR,WR,15,14,85,43,418,9.7,0,15,32.9,40,2.9,27.9,50.6,4.9,1
58,Tee Higgins,24,CIN,WR,12,11,76,42,656,15.6,5,33,53.9,80,3.5,54.7,55.3,8.6,0
59,Rondale Moore,23,ARI,WR,17,8,62,40,352,8.8,1,17,38.7,48,2.4,20.7,64.5,5.7,1
60,Josh Reynolds,28,DET,WR,17,13,64,40,608,15.2,5,32,56.3,33,2.4,35.8,62.5,9.5,1
61,Robert Woods,31,HOU,WR,14,11,75,40,426,10.7,1,26,45.3,26,2.9,30.4,53.3,5.7,0
62,Tutu Atwell,24,LAR,WR,16,14,67,39,483,12.4,3,26,47.8,44,2.4,30.2,58.2,7.2,0
63,Trey Palmer,22,TAM,WR,17,8,68,39,385,9.9,3,17,41.2,54,2.3,22.6,57.4,5.7,3
64,Khalil Shakir,23,BUF,WR,17,10,45,39,611,15.7,2,26,73.3,81,2.3,35.9,86.7,13.6,1
65,Michael Thomas,30,NOR,WR,10,7,64,39,448,11.5,1,21,54.7,31,3.9,44.8,60.9,7,0
66,Dontayvion Wicks,22,GNB,WR,15,6,58,39,581,14.9,4,29,62.1,35,2.6,38.7,67.2,10,3
67,Quentin Johnston,22,LAC,WR,17,10,67,38,431,11.3,2,20,47.8,57,2.2,25.4,56.7,6.4,0
68,Josh Palmer,24,LAC,WR,10,6,61,38,581,15.3,2,22,47.5,79,3.8,58.1,62.3,9.5,1
69,Michael Wilson,23,ARI,WR,13,12,58,38,565,14.9,3,29,56.9,69,2.9,43.5,65.5,9.7,0
70,Kendrick Bourne,28,NWE,WR,8,5,55,37,406,11,4,15,49.1,36,4.6,50.8,67.3,7.4,1
71,Nelson Agholor,30,BAL,WR,17,3,45,35,381,10.9,4,19,55.6,37,2.1,22.4,77.8,8.5,1
72,Odell Beckham Jr.,31,BAL,WR,14,6,64,35,565,16.1,3,27,50,51,2.5,40.4,54.7,8.8,1
73,DJ Chark,27,CAR,WR,15,11,66,35,525,15,5,22,43.9,47,2.3,35,53,8,2
74,Kalif Raymond,29,DET,WR,17,3,44,35,489,14,1,20,65.9,41,2.1,28.8,79.5,11.1,1
75,Michael Gallup,27,DAL,WR,17,13,57,34,418,12.3,2,19,50.9,41,2,24.6,59.6,7.3,0
76,Zay Jones,28,JAX,WR,9,7,64,34,321,9.4,2,14,43.8,36,3.8,35.7,53.1,5,0
77,Allen Robinson,30,PIT,WR,17,17,49,34,280,8.2,0,9,44.9,31,2,16.5,69.4,5.7,0
78,Noah Brown,27,HOU,WR,10,7,55,33,567,17.2,2,24,52.7,75,3.3,56.7,60,10.3,0
79,DeVante Parker,30,NWE,WR,13,13,55,33,394,11.9,0,17,49.1,30,2.5,30.3,60,7.2,0
80,Rashod Bateman,24,BAL,WR,16,12,56,32,367,11.5,1,20,50,29,2,22.9,57.1,6.6,0
81,Alec Pierce,23,IND,WR,17,16,65,32,514,16.1,2,24,46.2,58,1.9,30.2,49.2,7.9,0
82,Darnell Mooney,26,CHI,WR,15,14,61,31,414,13.4,1,20,41,41,2.1,27.6,50.8,6.8,0
83,Brandon Powell,28,MIN,WR,17,2,44,29,324,11.2,1,18,50,28,1.7,19.1,65.9,7.4,1
84,JuJu Smith-Schuster,27,NWE,WR,11,7,47,29,260,9,1,13,42.6,37,2.6,23.6,61.7,5.5,0
85,Christian Watson,24,GNB,WR,9,9,53,28,422,15.1,5,20,50.9,77,3.1,46.9,52.8,8,0
86,Nick Westbrook-Ikhine,26,TEN,WR,14,9,45,28,370,13.2,3,18,57.8,33,2,26.4,62.2,8.2,0
87,Braxton Berrios,28,MIA,WR,16,1,33,27,238,8.8,1,15,57.6,22,1.7,14.9,81.8,7.2,1
88,Kadarius Toney,24,KAN,WR,13,2,38,27,169,6.3,1,12,44.7,18,2.1,13,71.1,4.4,1
89,Justin Watson,28,KAN,WR,16,8,53,27,460,17,3,21,50.9,41,1.7,28.8,50.9,8.7,1
90,Demarcus Robinson,29,LAR,WR,16,4,39,26,371,14.3,4,20,59,37,1.6,23.2,66.7,9.5,2
91,Trenton Irwin,28,CIN,WR,16,5,32,25,316,12.6,1,15,59.4,32,1.6,19.8,78.1,9.9,2
92,Hunter Renfrow,28,LVR,WR,17,3,37,25,255,10.2,0,11,40.5,38,1.5,15,67.6,6.9,1
93,Greg Dortch,25,ARI,WR,16,4,41,24,280,11.7,2,14,48.8,38,1.5,17.5,58.5,6.8,0
94,Jameson Williams,22,DET,WR,12,10,42,24,354,14.8,2,14,47.6,63,2,29.5,57.1,8.4,1
95,Jalin Hyatt,22,NYG,WR,17,7,40,23,373,16.2,0,11,47.5,58,1.4,21.9,57.5,9.3,1
96,Allen Lazard,28,NYJ,WR,14,12,49,23,311,13.5,1,17,40.8,39,1.6,22.2,46.9,6.3,0
97,Marvin Mims,21,DEN,WR,16,7,33,22,377,17.1,1,9,48.5,60,1.4,23.6,66.7,11.4,2
98,Chris Moore,30,TEN,WR,17,5,35,22,424,19.3,0,16,54.3,49,1.3,24.9,62.9,12.1,1
99,Jalen Tolbert,24,DAL,WR,17,6,36,22,268,12.2,2,13,55.6,45,1.3,15.8,61.1,7.4,1
100,Cedrick Wilson Jr.,28,MIA,WR,15,3,38,22,296,13.5,3,14,47.4,31,1.5,19.7,57.9,7.8,0
101,Xavier Gipson,22,NYJ,WR,17,3,38,21,229,10.9,0,9,34.2,36,1.2,13.5,55.3,6,5
102,Isaiah Hodgins,25,NYG,WR,17,9,33,21,230,11,3,12,63.6,24,1.2,13.5,63.6,7,1
103,Skyy Moore,23,KAN,WR,14,8,38,21,244,11.6,1,13,44.7,54,1.5,17.4,55.3,6.4,0
104,Cedric Tillman,23,CLE,WR,14,3,44,21,224,10.7,0,12,40.9,23,1.5,16,47.7,5.1,0
105,Marquez Valdes-Scantling,29,KAN,WR,16,10,42,21,315,15,1,14,40.5,46,1.3,19.7,50,7.5,1
106,Parris Campbell,26,NYG,WR,12,3,27,20,104,5.2,0,2,37,17,1.7,8.7,74.1,3.9,0
107,Van Jefferson,27,2TM,WR,17,9,43,20,209,10.5,0,10,37.2,46,1.2,12.3,46.5,4.9,0
108,Jake Bobo,25,SEA,WR,17,0,25,19,196,10.3,2,9,60,31,1.1,11.5,76,7.8,0
109,Jauan Jennings,26,SFO,WR,13,2,33,19,265,13.9,1,12,48.5,31,1.5,20.4,57.6,8,0
110,Brandon Johnson,25,DEN,WR,13,2,30,19,284,14.9,4,12,60,50,1.5,21.8,63.3,9.5,0
111,Terrace Marshall Jr.,23,CAR,WR,9,4,33,19,139,7.3,0,8,45.5,14,2.1,15.4,57.6,4.2,1
112,Tre Tucker,22,LVR,WR,16,1,34,19,331,17.4,2,12,41.2,50,1.2,20.7,55.9,9.7,0
113,Mike Williams,29,LAC,WR,3,3,26,19,249,13.1,1,9,53.8,49,6.3,83,73.1,9.6,0
114,Mack Hollins,30,ATL,WR,13,3,30,18,251,13.9,0,9,46.7,45,1.4,19.3,60,8.4,0
115,Calvin Austin III,24,PIT,WR,17,1,30,17,180,10.6,1,7,40,72,1,10.6,56.7,6,2
116,Tyler Scott,22,CHI,WR,17,4,32,17,168,9.9,0,10,43.8,30,1,9.9,53.1,5.3,1
117,Deven Thompkins,24,TAM,WR,17,1,25,17,83,4.9,1,5,32,26,1,4.9,68,3.3,3
118,Treylon Burks,23,TEN,WR,11,9,30,16,221,13.8,0,8,43.3,70,1.5,20.1,53.3,7.4,0
119,Jamison Crowder,30,WAS,WR,17,0,20,16,159,9.9,1,8,60,26,0.9,9.4,80,8,2
120,Alex Erickson,31,LAC,WR,8,3,29,16,232,14.5,1,12,48.3,27,2,29,55.2,8,0
